Wort;Ost;Nord;West;SW;Bayern;CH;A
Bub;;;;0.25;0.25;0.25;0.25;
Omma;;;1;;;;;
Oppa;;;1;;;;;
Fritten;;;1;;;;;
Tschik;;;;;;;1;
Grüezi;;;;;;1;;
Grüzi;;;;;;1;;
Servus;;;;;0.5;;0.5;
Moin;;1;;;;;;
Hoi;;;;;;1;;
Karneval;;;1;;;;;
Fasnet;;;;1;;;;
Fasnacht;;;;;;1;;
Feudel;;1;;;;;;
Aufnehmer;;;1;;;;;
Putzlumpen;;;;0.33;0.33;0.33;;
Putzfetzen;;;;;;;1;
Scheuerlappen;1;;;;;;;
Hader;1;;;;;;;
Scheuerhader;1;;;;;;;
Apfelsine;0.33;0.33;0.33;;;;;
Porree;0.33;0.33;0.33;;;;;
Lauch;;;;0.5;0.5;;;
Schlachter;;1;;;;;;
Fleischer;1;;;;;;;
Metzger;;;0.33;0.33;0.33;;;
Fleischhacker;;;;;;;1;
Fleischhauer;;;;;;;1;
schlecken;;;;1;;;;
Autodrom;;;;;;;1;
Putschauto;;;;;;1;;
Putschautolin;;;;;;1;;
Box-Auto;;;;1;;;;
Boxauto;;;;1;;;;
Plaste;1;;;;;;;
Sackerl;;;;;;;1;
verkälten;;;;0.5;;0.5;;
verkühlen;;;;;;;1;
dört;;;;;;1;;
döt;;;;;;1;;
gell;;;;0.25;0.25;0.25;0.25;
gelle;;;;0.25;0.25;0.25;0.25;
eini;;;;;;;1;
aufe;;;;;;1;;
uffe;;;;;;1;;
uffa;;;;;;;1;
nauf;;;;;1;;;
nuff;;;;;1;;;
weeß;1;;;;;;;
woaß;;;;;1;;;
woiß;;;;1;;;;
waaß;;;;;;;1;
Pusemuckel;;;1;;;;;
Posemuckel;;;1;;;;;
Hintertupfingen;;;;1;;;;
Hintertupfing;;;;;0.5;;0.5;
ooch;1;;;;;;;
aach;;;;1;;;;
nich;0.33;0.33;0.33;;;;;
nöd;;;;;;1;;
benützen;;;;1;;;;
förig;;;;;;1;;
herinnen;;;;;0.5;;0.5;
gmäschig;;;;;1;;;
haklich;;;;;;;1;
mäkelig;0.33;0.33;0.33;;;;;
krüsch;;1;;;;;;
einsagen;;;;;1;;;
Salathaupt;;;;;;;1;
Häuptlsalat;;;;;;;1;
Pampelmuse;0.33;0.33;0.33;;;;;
Rauchfang;;;;;;;1;
Chemi;;;;;;1;;
Chämi;;;;;;1;;
Abtreter;1;;;;;;;
Abstreifer;;;;;1;;;
Abschtreicher;1;;;;;;;
Sanka;;;;;1;;;
Sankra;;;;;1;;;
mähren;1;;;;;;;
schutten;;;;;;1;;
Brotzeit;;;;;1;;;
Jause;;;;;;;1;
Znüni;;;;;;1;;
Krapfen;;;;;1;;;
Staubzucker;;;;;;;1;
Vogelsalat;;;;;;;1;
Vogerlsalat;;;;;;;1;
Nüssli;;;;;;1;;
Gardine;0.33;0.33;0.33;;;;;
Zündholz;;;;;;0.5;0.5;
Bierfilz;;;;;1;;;
Nachtkasten;;;;;;0.5;0.5;
Nachtkastel;;;;;;0.5;0.5;
Nachtkasterl;;;;;;0.5;0.5;
Nastuch;;;;;;1;;
Knöllchen;0.33;0.33;0.33;;;;;
Schmarren;;;;;0.5;;0.5;
Christbaum;;;;0.25;0.25;0.25;0.25;
Christkind;;;0.33;0.33;0.33;;;
Guetzli;;;;;;1;;
Wammerl;;;;;1;;;
Schmiege;1;;;;;;;
Meterstab;;;;0.5;0.5;;;
Leiberl;;;;;;;1;
Extemporale;;;;;1;;;
Uufzge;;;;;;1;;
Uufzgi;;;;;;1;;
Hausübungen;;;;;;;1;
Anspitzer;0.5;0.5;;;;;;
Aufnahmsprüfung;;;;;;;1;
Unterschleif;;;;;1;;;
Eierkuchen;1;;;;;;;
Plinse;1;;;;;;;
Palatschinke;;;;;;;1;
Palatschinken;;;;;;;1;
Krampus;;;;;;;1;
Stutenkerl;;1;;;;;;
Weckenmann;;;0.5;0.5;;;;
Weckmann;;;0.5;0.5;;;;
Grittibänz;;;;;;1;;
Grättimann;;;;;;1;;
Reibekuchen;;;1;;;;;
Reiberdatschi;;;;;1;;;
Datschi;;;;;1;;;
Tätschli;;;;;;1;;
Frikadelle;;0.5;0.5;;;;;
Bulette;1;;;;;;;
Fleischküchle;;;;1;;;;
Fleischpflanzerl;;;;;1;;;
Fleischpflanzl;;;;;1;;;
Faschiert;;;;;;;1;
Faschiertes;;;;;;;1;
Mehlspeise;;;;;;;1;
Einmachglas;;0.25;0.25;0.25;;0.25;;
Einweckglas;0.5;;;;0.5;;;
Rexglas;;;;;;;1;
klönen;;1;;;;;;
ratschen;;;;;0.5;;0.5;
schnacken;;1;;;;;;
schwätzen;;;;1;;;;
aufsperren;;;;;0.5;;0.5;
zusammenhocken;;;;0.33;0.33;0.33;;
verklopfen;;;;1;;;;
verkloppen;0.33;0.33;0.33;;;;;
Schlapfen;;;;;;;1;
Schlarpen;;;;;;1;;
Zähni;;;;;;1;;
Zehnerle;;;;1;;;;
Zehnerl;;;;;0.5;;0.5;
Groschen;0.33;0.33;0.33;;;;;
Haubn;;;;;;;1;
Tischtenniskelle;1;;;;;;;
Zwille;;1;;;;;;
Fletsche;;;1;;;;;
Heftzwecke;;;1;;;;;
Reißnagel;;;;0.33;0.33;0.33;0.33;
Reißzwecke;0.5;0.5;;;;;;
Klammeraffe;1;;;;;;;
Bostitch;;;;;;1;;
Klammermaschine;;;;;;;1;
Häferl;;;;;;;1;
Heferl;;;;;;;1;
Haferl;;;;;1;;;
Geldbeutel;;;;0.5;0.5;;;
Rufzeichen;;;;;;;1;
Rufezeichen;;;;;;;1;
Semikolon;0.33;0.33;0.33;;;;;
Strichpunkt;;;;0.25;0.25;0.25;0.25;
Ringlotte;;;;;;;1;
heuer;;;;;0.5;;0.5;
hüür;;;;;0.5;;0.5;
Trüffeln;;;;;;;1;
Mädle;;;;1;;;;
Backrohr;;;;;;;1;
Broiler;1;;;;;;;
Hendl;;;;;;;1;
Brathendl;;;;;;;1;
Reindl;;;;;;;1;
Herdäpfel;;;;;;1;;
Härdäpfel;;;;;;1;;
Erdäpfel;;;;;0.5;;0.5;
Klöße;0.5;0.5;;;;;;
Knödel;;;;0.25;0.25;0.25;0.25;
Kartoffelmus;1;;;;;;;
Stampfkartoffeln;1;;;;;;;
Katoffelpüree;;;1;;;;;
Erdäpfelpüree;;;;;;;1;
Erdäpfelstock;;;;;;1;;
Stocki;;;;;;1;;
Weckle;;;;1;;;;
Weckerle;;;;1;;;;
Weckerl;;;;1;;;;
Mütschli;;;;;;1;;
Semmel;;;;;0.5;;0.5;
Semmerl;;;;;0.5;;0.5;
Schrippe;1;;;;;;;
Brötli;;;;;;1;;
Brötchen;0.33;0.33;0.33;;;;;
Rübli;;;;;;1;;
Rüebli;;;;;;1;;
Riabli;;;;;;1;;
Mohrrübe;1;;;;;;;
Möhre;0.5;;0.5;;;;;
Topfen;;;;;;;1;
Schüppe;;;1;;;;;
Schufle;;;;;;1;;
Schufla;;;;;;1;;
ebent;0.5;0.5;;;;;;
